Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
AAPL,TECHNOLOGY,2023-09-30,1.305,30.41,28.66,1.72,44.63,2.75,0.253,6.13,0.0052,23.52
MSFT,TECHNOLOGY,2023-09-30,0.885,35.86,27.03,0.391,11.05,2.275,0.353,10.31,0.0081,18.55
AMZN,TRADE & SERVICES,2023-09-30,1.175,75.16,43.86,0.125,6.61,11.85,0.0362,1.91,0.0104,19.3
NVDA,MANUFACTURING,2023-07-31,1.694,116.19,39.53,0.402,19.59,4.041,0.316,4.16,0.0003,56.0
GOOGL,TECHNOLOGY,2023-09-30,1.05,25.4,17.79,0.253,4.852,1.34,0.225,5.22,0.0141,12.16
GOOG,TECHNOLOGY,2023-09-30,1.05,25.73,17.83,0.253,4.864,1.344,0.225,5.21,0,12.16
META,TECHNOLOGY,2023-09-30,1.206,28.99,14.95,0.223,2.598,2.635,0.234,11.34,0,7.05
TSLA,MANUFACTURING,2023-09-30,2.281,69.47,28.82,0.225,12.42,1.281,0.112,3.09,0.0183,29.61
BRKB,,,,,,,,,,,,
LLY,LIFE SCIENCES,2023-09-30,0.329,108.67,39.06,0.465,34.06,2.181,0.155,5.5,0.0076,42.04
UNH,FINANCE,2023-09-30,0.637,23.47,21.6,0.253,6.74,1.657,0.0602,23.06,0.0139,16.82
XOM,ENERGY & TRANSPORTATION,2023-09-30,1.058,10.3,9.08,0.212,2.268,1.689,0.117,10.07,0.0366,5.32
JPM,FINANCE,2023-09-30,1.102,8.6,10.38,0.169,1.534,1.166,0.36,17.02,0.0291,-
V,TRADE & SERVICES,2023-09-30,0.946,29.58,25.64,0.465,12.7,1.628,0.529,8.29,0.0085,23.33
JNJ,LIFE SCIENCES,2023-09-30,0.578,27.63,16.89,0.192,6.16,3.793,0.351,5.33,0.0323,15.47
AVGO,MANUFACTURING,2023-07-31,1.125,29.5,13.44,0.648,9.71,0.859,0.393,32.46,0.0192,12.93
PG,LIFE SCIENCES,2023-09-30,0.459,24.58,26.32,0.332,8.38,4.982,0.183,6.16,0.0249,18.39
MA,TRADE & SERVICES,2023-09-30,1.077,34.35,28.99,1.704,54.04,1.334,0.449,11.48,0.0058,27.64
HD,TRADE & SERVICES,2023-07-31,0.936,18.21,19.68,0.206,261.81,1.722,0.105,16.01,0.0287,14.29
CVX,ENERGY & TRANSPORTATION,2023-09-30,1.156,10.61,10.38,0.157,2.047,2.575,0.126,13.47,0.0423,5.2
MRK,LIFE SCIENCES,2023-09-30,0.375,56.33,14.75,0.108,6.36,1.359,0.0777,1.8,0.0288,13.96
ABBV,LIFE SCIENCES,2023-09-30,0.477,38.07,14.39,0.463,18.23,1.279,0.118,3.64,0.0447,13.8
ADBE,TECHNOLOGY,2023-08-31,1.324,53.76,22.22,0.34,10.99,1.481,0.271,11.11,0.0115,22.68
COST,TRADE & SERVICES,2023-08-31,0.776,40.81,33.56,0.275,10.39,3.433,0.026,14.14,0.0071,26.33
WMT,TRADE & SERVICES,2023-07-31,0.532,31.96,22.57,0.163,5.47,3.834,0.0223,5.2,0.0137,17.5
CSCO,TECHNOLOGY,2023-07-31,0.964,16.96,13.89,0.3,5.03,2.35,0.221,3.1,0.03,11.61
PEP,MANUFACTURING,2023-09-30,0.58,27.87,25,0.439,13.31,3.099,0.0905,5.99,0.0289,16.97
KO,MANUFACTURING,2023-09-30,0.592,22.96,25.32,0.412,12.13,3.601,0.239,2.47,0.0324,21.37
CRM,TECHNOLOGY,2023-07-31,1.175,133.52,23.75,0.0267,2.27,1.358,0.0477,1.6,0.0673,32.72
ACN,TRADE & SERVICES,2023-08-31,1.219,29.66,25.58,0.285,8.69,2.975,0.107,10.78,0.0164,18.53
BAC,FINANCE,2023-09-30,1.389,7.75,8.75,0.11,1.077,87.48,0.315,3.57,0.0347,-
TMO,LIFE SCIENCES,2023-09-30,0.813,29.41,24.45,0.133,5.11,4.284,0.137,15.25,0.0031,21.16
LIN,LIFE SCIENCES,2023-09-30,0.894,33.1,25.71,0.155,4.365,2.726,0.184,12.08,0.0128,18.08
PFE,LIFE SCIENCES,2023-09-30,0.579,16.11,10.96,0.111,3.301,1.173,0.153,1.83,0.0556,7.74
MCD,TRADE & SERVICES,2023-09-30,0.699,23.64,26.32,0,-,3.336,0.333,11.33,0.0249,23.03
CMCSA,TECHNOLOGY,2023-09-30,1.061,11.67,9.46,0.18,1.902,0.731,0.125,3.59,0.0277,8.72
AMD,MANUFACTURING,2023-09-30,1.654,1078.09,18.02,0.0038,2.038,0.902,0.0094,0.11,0.0116,18.86
ORCL,TECHNOLOGY,2023-08-31,1.024,33.55,16.39,0.73,47.38,1.517,0.184,3.37,0.0142,16.78
ABT,LIFE SCIENCES,2023-09-30,0.68,31.96,25.13,0.14,5.44,18.76,0.129,2.94,0.0217,15.2
NFLX,TRADE & SERVICES,2023-09-30,1.24,43.47,29.15,0.212,6.89,2.369,0.138,10.01,0,7.23
DIS,TRADE & SERVICES,2023-09-30,1.301,68.43,22.73,0.0306,1.807,0.756,0.0265,1.29,0.0174,17.64
AMGN,LIFE SCIENCES,2023-09-30,0.582,19.01,14.95,1.338,39.6,1.55,0.282,14.06,0.0319,13.85
COP,ENERGY & TRANSPORTATION,2023-09-30,1.292,12.59,8.48,0.231,2.793,0.447,0.181,9.18,0.0198,4.023
WFC,FINANCE,2023-09-30,1.169,8.93,8.29,0.0995,1.029,0.17,0.24,4.58,0.0342,-
INTC,MANUFACTURING,2023-09-30,0.883,-,15.04,-0.016,1.168,12.69,-0.0311,-0.39,0.0129,4.937
INTU,TECHNOLOGY,2023-07-31,1.191,62.89,30.67,0.141,7.32,1.907,0.166,8.41,0.0068,37.14
PM,MANUFACTURING,2023-09-30,0.8,17.42,17.64,0,-,3.549,0.234,5.15,0.058,13.38
TXN,MANUFACTURING,2023-09-30,1.001,19.09,22.73,0.456,11.0,2.985,0.392,7.71,0.0353,13.82
CAT,TECHNOLOGY,2023-09-30,1.08,17.73,15.9,0.492,7.83,1.557,0.115,13.52,0.0219,12.79
DHR,LIFE SCIENCES,2023-09-30,0.831,24.81,25.91,0.119,4.327,3.236,0.2,7.94,0.0055,19.93
VZ,TECHNOLOGY,2023-09-30,0.373,7.19,7.39,0.228,1.798,5.51,0.156,4.97,0.0745,7.19
UNP,ENERGY & TRANSPORTATION,2023-09-30,1.107,20.28,17.95,0.494,11.39,2.105,0.264,10.43,0.0246,13.3
IBM,TECHNOLOGY,2023-09-30,0.762,19.23,15.55,0.328,6.75,1.276,0.113,7.75,0.0446,25.81
HON,MANUFACTURING,2023-09-30,1.053,23.14,23.47,0.301,8.15,2.053,0.149,8.07,0.0231,17.99
