,Company,Ticker,GICS Sector,GICS Sub-Industry
0,10x Genomics,TXG,Health Care,
1,3M,MMM,Industrials,Industrial Conglomerates
2,Abbott,ABT,Health Care,Health Care Equipment
3,AbbVie,ABBV,Health Care,Pharmaceuticals
4,Acadia Healthcare,ACHC,Health Care,Health Care Facilities
5,Accenture,ACN,Information Technology,IT Consulting & Other Services
6,Acuity Brands,AYI,Industrials,Electrical Components & Equipment
7,ADM,ADM,Consumer Staples,Agricultural Products & Services
8,Adobe,ADBE,Information Technology,Application Software
9,ADP,ADP,Industrials,Human Resource & Employment Services
10,ADT,ADT,Consumer Discretionary,
11,Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
12,Advanced Drainage Systems,WMS,Industrials,
13,AECOM,ACM,Industrials,Construction & Engineering
14,AES,AES,Utilities,Independent Power Producers & Energy Traders
15,Affirm,AFRM,Information Technology,
16,Aflac,AFL,Financials,Life & Health Insurance
17,AGCO,AGCO,Industrials,Agricultural & Farm Machinery
18,Agilent Technologies,A,Health Care,Health Care Equipment
19,Agilon Health,AGL,Health Care,
20,Agree Realty,ADC,Real Estate,
21,AGNC Investment,AGNC,Financials,
22,AIG,AIG,Financials,Property & Casualty Insurance
23,Air Lease Corporation,AL,Industrials,
24,Air Products,APD,Materials,Industrial Gases
25,Airbnb,ABNB,Consumer Discretionary,
26,Akamai,AKAM,Information Technology,Internet Services & Infrastructure
27,Alaska Air Group,ALK,Industrials,Passenger Airlines
28,Albemarle,ALB,Materials,Specialty Chemicals
29,Albertsons,ACI,Consumer Staples,
30,Alcoa,AA,Materials,Aluminum
31,Alexandria,ARE,Real Estate,Office REITs
32,Align,ALGN,Health Care,Health Care Supplies
33,Allegion,ALLE,Industrials,Building Products
34,Allegro MicroSystems,ALGM,Information Technology,
35,Alliant Energy,LNT,Utilities,Electric Utilities
36,Allison Transmission,ALSN,Industrials,
37,Allstate,ALL,Financials,Property & Casualty Insurance
38,Ally,ALLY,Financials,
39,Alnylam,ALNY,Health Care,
40,Alphabet (Class A),GOOGL,Communication Services,Interactive Media & Services
41,Alphabet (Class C),GOOG,Communication Services,Interactive Media & Services
42,Alteryx,AYX,Information Technology,
43,Altria,MO,Consumer Staples,Tobacco
44,Amazon,AMZN,Consumer Discretionary,
45,AMC Theatres (Class A),AMC,Communication Services,
46,Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
47,AMD,AMD,Information Technology,Semiconductors
48,Amdocs,DOX,Information Technology,
49,Amedisys,AMED,Health Care,Health Care Services
50,Ameren,AEE,Utilities,Multi-Utilities
51,American Airlines Group,AAL,Industrials,Passenger Airlines
52,American Electric Power,AEP,Utilities,Electric Utilities
53,American Express,AXP,Financials,Consumer Finance
54,American Financial Group,AFG,Financials,Multi-line Insurance
55,American Homes 4 Rent,AMH,Real Estate,
56,American Tower,AMT,Real Estate,Telecom Tower REITs
57,American Water,AWK,Utilities,Water Utilities
58,Americold,COLD,Real Estate,
59,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
60,Ametek,AME,Industrials,Electrical Components & Equipment
61,AMG,AMG,Financials,Asset Management & Custody Banks
62,Amgen,AMGN,Health Care,Biotechnology
63,Amphenol,APH,Information Technology,Electronic Components
64,Analog Devices,ADI,Information Technology,Semiconductors
65,Annaly,NLY,Financials,
66,Ansys,ANSS,Information Technology,Application Software
67,Antero Midstream,AM,Energy,
68,Antero Resources,AR,Energy,
69,AON,AON,Financials,Insurance Brokers
70,APA Corporation,APA,Energy,Oil & Gas Exploration & Production
71,Apartment Income REIT,AIRC,Real Estate,
72,Apellis Pharmaceuticals,APLS,Health Care,Biotechnology
73,Apollo,APO,Financials,
74,Apple,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
75,Applied Materials,AMAT,Information Technology,Semiconductor Materials & Equipment
76,AppLovin,APP,Information Technology,
77,AptarGroup,ATR,Materials,"Metal, Glass & Plastic Containers"
78,Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
79,Aramark,ARMK,Consumer Discretionary,
80,Arch,ACGL,Financials,Reinsurance
81,Ardagh Metal Packaging,AMBP,Materials,
82,Ares,ARES,Financials,
83,Arista,ANET,Information Technology,Communications Equipment
84,Armstrong World Industries,AWI,Industrials,
85,Arrow Electronics,ARW,Information Technology,Technology Distributors
86,Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
87,Ashland,ASH,Materials,Diversified Chemicals
88,Aspen Technology,AZPN,Information Technology,Application Software
89,Assurant,AIZ,Financials,Multi-line Insurance
90,Assured Guaranty,AGO,Financials,
91,AT&T,T,Communication Services,Integrated Telecommunication Services
92,Atlassian,TEAM,Information Technology,Application Software
93,Atmos Energy,ATO,Utilities,Gas Utilities
94,Autodesk,ADSK,Information Technology,Application Software
95,AutoNation,AN,Consumer Discretionary,Automotive Retail
96,AutoZone,AZO,Consumer Discretionary,Automotive Retail
97,AvalonBay Communities,AVB,Real Estate,Residential REITs
98,Avangrid,AGR,Utilities,
99,Avantor,AVTR,Health Care,
100,Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials
101,Avis Budget Group,CAR,Industrials,Passenger Ground Transportation
102,Avnet,AVT,Information Technology,Technology Distributors
103,Axalta,AXTA,Materials,
104,AXIS Capital,AXS,Financials,
105,Axon,AXON,Industrials,Aerospace & Defense
106,Azek,AZEK,Industrials,
107,Azenta,AZTA,Health Care,Life Sciences Tools & Services
108,Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
109,Ball,BALL,Materials,"Metal, Glass & Plastic Containers"
110,Bank of America,BAC,Financials,Diversified Banks
111,Bank OZK,OZK,Financials,Regional Banks
112,Bath & Body Works,BBWI,Consumer Discretionary,Other Specialty Retail
113,Baxter,BAX,Health Care,Health Care Equipment
114,Becton Dickinson,BDX,Health Care,Health Care Equipment
115,Bentley,BSY,Information Technology,
116,Berkley,WRB,Financials,Property & Casualty Insurance
117,Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings
118,Berry Global,BERY,Materials,
119,Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
120,Bill.com,BILL,Information Technology,
121,Bio-Rad,BIO,Health Care,Life Sciences Tools & Services
122,Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
123,Biogen,BIIB,Health Care,Biotechnology
124,BioMarin,BMRN,Health Care,
125,BJ's Wholesale Club,BJ,Consumer Staples,Hypermarkets & Super Centers
126,Black Knight,BKI,Information Technology,
127,BlackRock,BLK,Financials,Asset Management & Custody Banks
128,Blackstone,BX,Financials,Asset Management & Custody Banks
129,H&R Block,HRB,Consumer Discretionary,Specialized Consumer Services
130,"Block, Inc.",SQ,Financials,Transaction & Payment Processing Services
131,Blue Owl Capital,OWL,Financials,
132,BNY Mellon,BK,Financials,Asset Management & Custody Banks
133,Boeing,BA,Industrials,Aerospace & Defense
134,BOK Financial,BOKF,Financials,
135,Booking Holdings,BKNG,Consumer Discretionary,
136,Booz Allen Hamilton,BAH,Industrials,
137,BorgWarner,BWA,Consumer Discretionary,Automotive Parts & Equipment
138,Boston Beer Company,SAM,Consumer Staples,Brewers
139,Boston Properties,BXP,Real Estate,Office REITs
140,Boston Scientific,BSX,Health Care,Health Care Equipment
141,Boyd Gaming,BYD,Consumer Discretionary,Casinos & Gaming
142,Bright Horizons Family Solutions,BFAM,Consumer Discretionary,
143,Brighthouse Financial,BHF,Financials,Life & Health Insurance
